"CH4","CO2","H2O","N2","O2","Qdot","T","f_Bilger","p","U:0","U:1","U:2","RR.CH4","RR.H2O","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.57897e-02,1.37888e-01,1.12888e-01,6.73001e-01,4.32887e-04,3.21025e+06,1.76523e+03,1.26069e-01,1.00000e+05,-1.35909e-01,1.22500e-07,0.00000e+00,-6.41649e-02,1.44109e-01,1,1.00000e-02,1.00000e-02,0.00000e+00,0.00000e+00
6.22396e-02,1.39705e-01,1.14375e-01,6.82930e-01,7.49197e-04,5.61729e+06,1.81966e+03,1.13182e-01,1.00000e+05,-1.46757e-01,1.20000e-07,0.00000e+00,-1.12276e-01,2.52160e-01,1,1.02000e-02,1.02000e-02,0.00000e+00,0.00000e+00
4.99852e-02,1.41177e-01,1.15580e-01,6.91959e-01,1.29825e-03,9.71833e+06,1.87130e+03,1.01466e-01,1.00000e+05,-1.57502e-01,1.17500e-07,0.00000e+00,-1.94245e-01,4.36256e-01,1,1.04000e-02,1.04000e-02,0.00000e+00,0.00000e+00
3.91358e-02,1.42195e-01,1.16414e-01,7.00032e-01,2.22263e-03,1.65220e+07,1.91823e+03,9.09885e-02,1.00000e+05,-1.67995e-01,1.15000e-07,0.00000e+00,-3.30234e-01,7.41674e-01,1,1.06000e-02,1.06000e-02,0.00000e+00,0.00000e+00
2.96626e-02,1.42605e-01,1.16750e-01,7.07216e-01,3.76693e-03,2.77759e+07,1.95858e+03,8.16657e-02,1.00000e+05,-1.78062e-01,1.15000e-07,0.00000e+00,-5.55173e-01,1.24686e+00,1,1.08000e-02,1.08000e-02,0.00000e+00,0.00000e+00
2.12133e-02,1.42136e-01,1.16366e-01,7.13858e-01,6.42610e-03,4.70800e+07,1.99087e+03,7.30468e-02,1.00000e+05,-1.87425e-01,1.12500e-07,0.00000e+00,-9.41011e-01,2.11342e+00,1,1.10000e-02,1.10000e-02,0.00000e+00,0.00000e+00
1.38827e-02,1.40281e-01,1.14846e-01,7.20028e-01,1.09632e-02,8.01776e+07,2.01006e+03,6.50404e-02,1.00000e+05,-1.95480e-01,1.10000e-07,0.00000e+00,-1.60255e+00,3.59917e+00,1,1.12000e-02,1.12000e-02,0.00000e+00,0.00000e+00
8.10118e-03,1.36158e-01,1.11471e-01,7.25640e-01,1.86291e-02,1.32582e+08,2.00656e+03,5.77572e-02,1.00000e+05,-2.00998e-01,1.12500e-07,0.00000e+00,-2.64999e+00,5.95163e+00,1,1.14000e-02,1.14000e-02,0.00000e+00,0.00000e+00
4.29182e-03,1.28339e-01,1.05071e-01,7.30771e-01,3.15268e-02,1.27675e+08,1.96577e+03,5.10986e-02,1.00000e+05,-2.02870e-01,1.15000e-07,0.00000e+00,-2.55190e+00,5.73133e+00,1,1.16000e-02,1.16000e-02,0.00000e+00,0.00000e+00
2.22477e-03,1.17199e-01,9.59500e-02,7.35492e-01,4.91345e-02,7.00971e+07,1.88850e+03,4.49710e-02,1.00000e+05,-2.01046e-01,1.15000e-07,0.00000e+00,-1.40107e+00,3.14666e+00,1,1.18000e-02,1.18000e-02,0.00000e+00,0.00000e+00
1.12226e-03,1.04694e-01,8.57124e-02,7.39851e-01,6.86196e-02,3.73892e+07,1.79040e+03,3.93104e-02,1.00000e+05,-1.96421e-01,1.15000e-07,0.00000e+00,-7.47317e-01,1.67840e+00,1,1.20000e-02,1.20000e-02,0.00000e+00,0.00000e+00
5.47098e-04,9.19352e-02,7.52665e-02,7.43875e-01,8.83764e-02,1.94602e+07,1.68078e+03,3.40839e-02,1.00000e+05,-1.90038e-01,1.20000e-07,-0.00000e+00,-3.88962e-01,8.73570e-01,1,1.22000e-02,1.22000e-02,0.00000e+00,0.00000e+00
2.56208e-04,7.95504e-02,6.51272e-02,7.47573e-01,1.07493e-01,9.80502e+06,1.56528e+03,2.92779e-02,1.00000e+05,-1.82508e-01,1.30000e-07,2.49999e-36,-1.95978e-01,4.40148e-01,1,1.24000e-02,1.24000e-02,0.00000e+00,0.00000e+00
1.14601e-04,6.78890e-02,5.55802e-02,7.50952e-01,1.25464e-01,4.75000e+06,1.44746e+03,2.48846e-02,1.00000e+05,-1.74173e-01,1.40000e-07,2.50000e-36,-9.49407e-02,2.13228e-01,1,1.26000e-02,1.26000e-02,0.00000e+00,0.00000e+00
4.86419e-05,5.71322e-02,4.67736e-02,7.54017e-01,1.42028e-01,2.19700e+06,1.32963e+03,2.08964e-02,1.00000e+05,-1.65250e-01,1.50000e-07,0.00000e+00,-4.39126e-02,9.86234e-02,1,1.28000e-02,1.28000e-02,0.00000e+00,0.00000e+00
1.94523e-05,4.73697e-02,3.87812e-02,7.56774e-01,1.57055e-01,9.63154e+05,1.21345e+03,1.73072e-02,1.00000e+05,-1.55909e-01,1.62500e-07,0.00000e+00,-1.92511e-02,4.32361e-02,1,1.30000e-02,1.30000e-02,0.00000e+00,0.00000e+00
7.27910e-06,3.86411e-02,3.16351e-02,7.59227e-01,1.70490e-01,3.97466e+05,1.10027e+03,1.41117e-02,1.00000e+05,-1.46306e-01,1.77500e-07,0.00000e+00,-7.94434e-03,1.78422e-02,1,1.32000e-02,1.32000e-02,0.00000e+00,0.00000e+00
2.55263e-06,3.09669e-02,2.53523e-02,7.61378e-01,1.82300e-01,1.54587e+05,9.91392e+02,1.13077e-02,1.00000e+05,-1.36594e-01,1.92500e-07,-1.40130e-45,-3.08980e-03,6.93939e-03,1,1.34000e-02,1.34000e-02,0.00000e+00,0.00000e+00
8.96937e-07,2.43303e-02,1.99190e-02,7.63234e-01,1.92516e-01,5.54973e+04,8.87816e+02,8.88506e-03,1.00000e+05,-1.26832e-01,2.07500e-07,0.00000e+00,-1.10925e-03,2.49128e-03,1,1.36000e-02,1.36000e-02,0.00000e+00,0.00000e+00
3.97215e-07,1.85708e-02,1.52037e-02,7.64843e-01,2.01383e-01,1.55426e+04,7.88757e+02,6.78313e-03,1.00000e+05,-1.16986e-01,2.20000e-07,0.00000e+00,-3.10658e-04,6.97708e-04,1,1.38000e-02,1.38000e-02,0.00000e+00,0.00000e+00
2.45188e-07,1.36055e-02,1.11387e-02,7.66228e-01,2.09028e-01,2.47400e+03,6.94349e+02,4.97091e-03,1.00000e+05,-1.07153e-01,2.27500e-07,-1.40130e-45,-4.94491e-05,1.11058e-04,1,1.40000e-02,1.40000e-02,0.00000e+00,0.00000e+00
1.68062e-07,9.52572e-03,7.79861e-03,7.67364e-01,2.15311e-01,1.85326e+02,6.07367e+02,3.48152e-03,1.00000e+05,-9.76807e-02,2.32500e-07,0.00000e+00,-3.70421e-06,8.31933e-06,1,1.42000e-02,1.42000e-02,0.00000e+00,0.00000e+00
1.11706e-07,6.33997e-03,5.19048e-03,7.68250e-01,2.20219e-01,7.04187e+00,5.30201e+02,2.31815e-03,1.00000e+05,-8.90140e-02,2.32500e-07,0.00000e+00,-1.40750e-07,3.16110e-07,1,1.44000e-02,1.44000e-02,0.00000e+00,0.00000e+00
6.99844e-08,3.97275e-03,3.25245e-03,7.68906e-01,2.23868e-01,1.53311e-01,4.64342e+02,1.45331e-03,1.00000e+05,-8.15445e-02,2.15000e-07,0.00000e+00,-3.06431e-09,6.88217e-09,1,1.46000e-02,1.46000e-02,0.00000e+00,0.00000e+00
4.08817e-08,2.32127e-03,1.90040e-03,7.69363e-01,2.26416e-01,2.18334e-03,4.10793e+02,8.49661e-04,1.00000e+05,-7.55722e-02,1.72500e-07,-0.00000e+00,-4.36393e-11,9.80102e-11,1,1.48000e-02,1.48000e-02,0.00000e+00,0.00000e+00
2.20896e-08,1.25479e-03,1.02729e-03,7.69657e-01,2.28061e-01,2.66931e-05,3.69733e+02,4.59604e-04,1.00000e+05,-7.13110e-02,1.12500e-07,0.00000e+00,-5.33419e-13,1.19824e-12,1,1.50000e-02,1.50000e-02,0.00000e+00,0.00000e+00
1.10055e-08,6.25619e-04,5.12189e-04,7.69830e-01,2.29033e-01,4.13077e-07,3.40321e+02,2.29319e-04,1.00000e+05,-6.89011e-02,3.50004e-08,-1.74999e-35,-8.18815e-15,1.85794e-14,1,1.52000e-02,1.52000e-02,0.00000e+00,0.00000e+00
5.10162e-09,2.90314e-04,2.37677e-04,7.69921e-01,2.29550e-01,1.13529e-08,3.20798e+02,1.06497e-04,1.00000e+05,-6.80913e-02,8.00000e-08,-1.75000e-35,-2.26396e-16,5.46290e-16,1,1.54000e-02,1.54000e-02,0.00000e+00,0.00000e+00
2.24199e-09,1.27749e-04,1.04587e-04,7.69966e-01,2.29802e-01,2.34503e-10,3.08719e+02,4.68999e-05,1.00000e+05,-6.85133e-02,1.67500e-07,0.00000e+00,-1.37299e-17,0.00000e+00,1,1.56000e-02,1.56000e-02,0.00000e+00,0.00000e+00
9.42028e-10,5.37666e-05,4.40182e-05,7.69985e-01,2.29917e-01,1.21292e-10,3.01610e+02,1.97522e-05,1.00000e+05,-6.98597e-02,1.72500e-07,0.00000e+00,-1.64996e-18,6.82865e-18,1,1.58000e-02,1.58000e-02,0.00000e+00,0.00000e+00
3.81497e-10,2.18105e-05,1.78561e-05,7.69994e-01,2.29967e-01,1.50387e-10,2.97594e+02,8.01776e-06,1.00000e+05,-7.17427e-02,1.80000e-07,-0.00000e+00,-3.21524e-19,8.53580e-18,1,1.60000e-02,1.60000e-02,0.00000e+00,0.00000e+00
1.49681e-10,8.57286e-06,7.01854e-06,7.69998e-01,2.29987e-01,2.25267e-11,2.95397e+02,3.15302e-06,1.00000e+05,-7.39160e-02,1.75000e-07,0.00000e+00,-8.41010e-20,1.70716e-18,1,1.62000e-02,1.62000e-02,0.00000e+00,0.00000e+00
5.71631e-11,3.27923e-06,2.68468e-06,7.70000e-01,2.29995e-01,5.07551e-12,2.94227e+02,1.20663e-06,1.00000e+05,-7.62175e-02,1.65000e-07,-1.40130e-45,-2.58184e-20,2.13395e-19,1,1.64000e-02,1.64000e-02,0.00000e+00,0.00000e+00
2.13074e-11,1.22414e-06,1.00219e-06,7.70000e-01,2.29998e-01,5.15565e-12,2.93617e+02,4.50594e-07,1.00000e+05,-7.85426e-02,1.55000e-07,0.00000e+00,-8.58583e-21,2.13395e-19,1,1.66000e-02,1.66000e-02,0.00000e+00,0.00000e+00
7.77214e-12,4.47059e-07,3.66003e-07,7.70000e-01,2.29999e-01,-1.37463e-14,2.93306e+02,1.64611e-07,1.00000e+05,-8.08266e-02,1.45000e-07,1.40130e-45,-2.95618e-21,0.00000e+00,1,1.68000e-02,1.68000e-02,0.00000e+00,0.00000e+00
2.77901e-12,1.60010e-07,1.30999e-07,7.70000e-01,2.30000e-01,-4.76645e-15,2.93149e+02,5.89319e-08,1.00000e+05,-8.30307e-02,1.35000e-07,-1.40130e-45,-1.02504e-21,2.96143e-36,1,1.70000e-02,1.70000e-02,0.00000e+00,0.00000e+00
9.75819e-13,5.62258e-08,4.60316e-08,7.70000e-01,2.30000e-01,-1.64921e-15,2.93072e+02,2.07134e-08,1.00000e+05,-8.51317e-02,1.25000e-07,0.00000e+00,-3.54668e-22,0.00000e+00,1,1.72000e-02,1.72000e-02,0.00000e+00,0.00000e+00
3.36922e-13,1.94233e-08,1.59017e-08,7.70000e-01,2.30000e-01,-5.65669e-16,2.93034e+02,7.15690e-09,1.00000e+05,-8.71155e-02,1.15000e-07,-1.40130e-45,-1.21649e-22,0.00000e+00,1,1.74000e-02,1.74000e-02,0.00000e+00,0.00000e+00
1.14580e-13,6.60717e-09,5.40923e-09,7.70000e-01,2.30000e-01,9.95586e-15,2.93016e+02,2.43514e-09,1.00000e+05,-8.89728e-02,1.02500e-07,0.00000e+00,-4.12292e-23,4.16788e-22,1,1.76000e-02,1.76000e-02,0.00000e+00,0.00000e+00
3.84154e-14,2.21560e-09,1.81389e-09,7.70000e-01,2.30000e-01,1.00833e-14,2.93008e+02,8.16718e-10,1.00000e+05,-9.06973e-02,9.00000e-08,0.00000e+00,-1.38157e-23,4.16788e-22,1,1.78000e-02,1.78000e-02,0.00000e+00,0.00000e+00
1.27203e-14,7.33609e-10,6.00599e-10,7.70000e-01,2.30000e-01,1.24721e-15,2.93004e+02,2.70494e-10,1.00000e+05,-9.22844e-02,8.25000e-08,0.00000e+00,-4.56749e-24,5.20985e-23,1,1.80000e-02,1.80000e-02,0.00000e+00,0.00000e+00
4.16217e-15,2.40049e-10,1.96526e-10,7.70000e-01,2.30000e-01,1.54603e-15,2.93001e+02,8.85205e-11,1.00000e+05,-9.37305e-02,7.25001e-08,0.00000e+00,-1.49303e-24,5.20985e-23,1,1.82000e-02,1.82000e-02,0.00000e+00,0.00000e+00
1.34828e-15,7.77474e-11,6.36512e-11,7.70000e-01,2.30000e-01,2.82276e-16,2.93000e+02,2.86756e-11,1.00000e+05,-9.50323e-02,6.25000e-08,0.00000e+00,-4.83862e-25,0.00000e+00,1,1.84000e-02,1.84000e-02,0.00000e+00,0.00000e+00
4.32716e-16,2.49500e-11,2.04263e-11,7.70000e-01,2.30000e-01,-7.22969e-19,2.93000e+02,9.20362e-12,1.00000e+05,-9.61870e-02,5.75000e-08,0.00000e+00,-1.55477e-25,0.00000e+00,1,1.86000e-02,1.86000e-02,0.00000e+00,0.00000e+00
1.37801e-16,7.94302e-12,6.50288e-12,7.70000e-01,2.30000e-01,5.23380e-18,2.93000e+02,2.93071e-12,1.00000e+05,-9.71927e-02,5.00000e-08,0.00000e+00,-4.95101e-26,4.07020e-25,1,1.88000e-02,1.88000e-02,0.00000e+00,0.00000e+00
4.35444e-17,2.50913e-12,2.05420e-12,7.70000e-01,2.30000e-01,5.39129e-18,2.93000e+02,9.26067e-13,1.00000e+05,-9.80474e-02,4.02500e-08,0.00000e+00,-1.56406e-26,4.07020e-25,1,1.90000e-02,1.90000e-02,0.00000e+00,0.00000e+00
1.36440e-17,7.85689e-13,6.43237e-13,7.70000e-01,2.30000e-01,-2.27224e-20,2.93000e+02,2.90283e-13,1.00000e+05,-9.87492e-02,3.10001e-08,-1.40130e-45,-4.89746e-27,3.79064e-30,1,1.92000e-02,1.92000e-02,0.00000e+00,0.00000e+00
4.21367e-18,2.41963e-13,1.98093e-13,7.70000e-01,2.30000e-01,3.02652e-19,2.93000e+02,8.96385e-14,1.00000e+05,-9.92954e-02,2.22501e-08,0.00000e+00,-1.51093e-27,1.27192e-26,1,1.94000e-02,1.94000e-02,0.00000e+00,0.00000e+00
1.24591e-18,7.13674e-14,5.84277e-14,7.70000e-01,2.30000e-01,3.77066e-19,2.93000e+02,2.65886e-14,1.00000e+05,-9.96820e-02,1.55000e-08,-1.40130e-45,-4.47116e-28,1.27193e-26,1,1.96000e-02,1.96000e-02,0.00000e+00,0.00000e+00
3.19817e-19,1.81932e-14,1.48946e-14,7.70000e-01,2.30000e-01,8.82854e-20,2.93000e+02,6.94523e-15,1.00000e+05,-9.99127e-02,1.02500e-08,1.40130e-45,-1.14847e-28,7.94960e-28,1,1.98000e-02,1.98000e-02,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,7.70000e-01,2.30000e-01,0.00000e+00,2.93000e+02,0.00000e+00,1.00000e+05,-1.00000e-01,0.00000e+00,0.00000e+00,-3.99241e-29,1.58992e-27,1,2.00000e-02,2.00000e-02,0.00000e+00,0.00000e+00
